Opponent,HomeGameNumber,HomeGameDateDiff,BowlTier,MonthName,DayofWeek,DayofMonth,IsHoliday,Holiday,CompetingSportingTeamCount,NumofPlayersWhoMadeAllStarTeamLastSeason,Division,Conference,OppPrevSeasonWinCount,OppPrevSeasonLoseCount,OppPrevSeasonWin%,OppPrevSeasonConfSemis,OppPrevSeasonConfFinals,OppPrevSeasonNBAFinals,OppPrevSeasonNBAChamps
Indiana Pacers,1,0,A,October,Friday,19,0,NULL,NULL,1,Central,Eastern,48,34,0.585,1,0,0,0
New York Knicks,2,3,D,October,Monday,22,0,NULL,NULL,0,Atlantic,Eastern,29,53,0.354,0,0,0,0
Philadelphia 76ers,3,2,C,October,Wednesday,24,0,NULL,NULL,1,Atlantic,Eastern,52,30,0.634,1,0,0,0
Orlando Magic,4,3,C,October,Saturday,27,0,NULL,NULL,0,Southeast,Eastern,25,57,0.305,0,0,0,0
Toronto Raptors,5,2,C,October,Monday,29,0,NULL,NULL,1,Atlantic,Eastern,59,23,0.72,1,0,0,0
Sacramento Kings,6,6,D,November,Sunday,4,0,NULL,NULL,0,Pacific,Western,27,55,0.329,0,0,0,0
Memphis Grizzlies,7,10,D,November,Wednesday,14,0,NULL,NULL,0,Southwest,Western,22,60,0.268,0,0,0,0
Chicago Bulls,8,2,D,November,Friday,16,0,NULL,NULL,0,Central,Eastern,27,55,0.329,0,0,0,0
Denver Nuggets,9,3,C,November,Monday,19,0,NULL,NULL,0,Northwest,Western,46,36,0.561,0,0,0,0
Portland Trail Blazers,10,2,D,November,Wednesday,21,0,NULL,NULL,1,Northwest,Western,49,33,0.598,1,0,0,0
Phoenix Suns,11,2,D,November,Friday,23,0,NULL,NULL,0,Pacific,Western,21,61,0.256,0,0,0,0
San Antonio Spurs,12,1,C,November,Saturday,24,0,NULL,1,2,Southwest,Western,47,35,0.573,1,0,0,0
Chicago Bulls,13,4,C,November,Wednesday,28,0,NULL,NULL,0,Central,Eastern,27,55,0.329,0,0,0,0
Detroit Pistons,14,7,D,December,Wednesday,5,0,NULL,NULL,1,Central,Eastern,39,43,0.476,0,0,0,0
Golden State Warriors,15,2,D,December,Friday,7,0,NULL,NULL,5,Pacific,Western,58,24,0.707,1,1,1,1
Cleveland Cavaliers,16,3,A,December,Monday,10,0,NULL,NULL,1,Central,Eastern,50,32,0.61,1,1,1,0
New Orleans Pelicans,17,9,D,December,Wednesday,19,0,NULL,NULL,1,Southwest,Western,48,34,0.585,1,0,0,0
New York Knicks,18,8,D,December,Thursday,27,0,NULL,NULL,0,Atlantic,Eastern,29,53,0.354,0,0,0,0
Brooklyn Nets,19,2,C,December,Saturday,29,0,NULL,NULL,0,Atlantic,Eastern,28,54,0.341,0,0,0,0
Detroit Pistons,20,3,D,January,Tuesday,1,1,New Year's Day,NULL,1,Central,Eastern,39,43,0.476,0,0,0,0
Atlanta Hawks,21,3,D,January,Friday,4,0,NULL,NULL,0,Southeast,Eastern,24,58,0.293,0,0,0,0
Toronto Raptors,22,1,C,January,Saturday,5,0,NULL,NULL,1,Atlantic,Eastern,59,23,0.72,1,0,0,0
Utah Jazz,23,2,D,January,Monday,7,0,NULL,NULL,0,Northwest,Western,48,34,0.585,1,0,0,0
Miami Heat,24,8,D,January,Tuesday,15,0,NULL,NULL,1,Southeast,Eastern,44,38,0.537,1,0,0,0
Dallas Mavericks,25,6,D,January,Monday,21,1,Martin Luther King Jr. Day,NULL,0,Southwest,Western,24,58,0.293,0,0,0,0
Charlotte Hornets,26,4,C,January,Friday,25,0,NULL,NULL,1,Southeast,Eastern,36,46,0.439,0,0,0,0
Washington Wizards,27,12,D,February,Wednesday,6,0,NULL,NULL,2,Southeast,Eastern,43,39,0.524,1,0,0,0
Orlando Magic,28,3,C,February,Saturday,9,0,NULL,NULL,0,Southeast,Eastern,25,57,0.305,0,0,0,0
Boston Celtics,29,12,B,February,Thursday,21,0,NULL,NULL,2,Atlantic,Eastern,55,27,0.671,1,1,0,0
Minnesota Timberwolves,30,2,C,February,Saturday,23,0,NULL,NULL,1,Northwest,Western,47,35,0.573,1,0,0,0
Indiana Pacers,31,12,D,March,Thursday,7,0,NULL,NULL,1,Central,Eastern,48,34,0.585,1,0,0,0
Charlotte Hornets,32,2,C,March,Saturday,9,0,NULL,NULL,1,Southeast,Eastern,36,46,0.439,0,0,0,0
Philadelphia 76ers,33,8,B,March,Sunday,17,1,Saint Patrick's Day,NULL,2,Atlantic,Eastern,52,30,0.634,1,0,0,0
Los Angeles Lakers,34,2,A,March,Tuesday,19,0,NULL,NULL,1,Pacific,Western,35,47,0.427,0,0,0,0
Miami Heat,35,3,C,March,Friday,22,0,NULL,NULL,1,Southeast,Eastern,44,38,0.537,1,0,0,0
Cleveland Cavaliers,36,2,C,March,Sunday,24,0,NULL,NULL,1,Central,Eastern,50,32,0.61,1,1,1,0
Houston Rockets,37,2,C,March,Tuesday,26,0,NULL,NULL,1,Southwest,Western,65,17,0.793,1,1,0,0
Los Angeles Clippers,38,2,D,March,Thursday,28,0,NULL,1,0,Pacific,Western,42,40,0.512,0,0,0,0
Brooklyn Nets,39,9,C,April,Saturday,6,0,NULL,1,0,Atlantic,Eastern,28,54,0.341,0,0,0,0
Atlanta Hawks,40,1,C,April,Sunday,7,0,NULL,1,0,Southeast,Eastern,24,58,0.293,0,0,0,0
Oklahoma City Thunder,41,3,B,April,Wednesday,10,0,NULL,NULL,2,Northwest,Western,48,34,0.585,1,0,0,0
Miami Heat,1,0,A,October,Saturday,26,0,NULL,NULL,0,Southeast,Eastern,39,43,0.476,0,0,0,0
Cleveland Cavaliers,2,2,D,October,Monday,28,0,NULL,NULL,0,Central,Eastern,19,63,0.232,0,0,0,0
Toronto Raptors,3,5,C,November,Saturday,2,0,NULL,NULL,1,Atlantic,Eastern,58,24,0.707,1,1,1,1
Chicago Bulls,4,12,D,November,Thursday,14,0,NULL,NULL,0,Central,Eastern,22,60,0.268,0,0,0,0
Portland Trail Blazers,5,7,D,November,Thursday,21,0,NULL,NULL,1,Northwest,Western,53,29,0.646,1,1,0,0
Detroit Pistons,6,2,C,November,Saturday,23,0,NULL,1,1,Central,Eastern,41,41,0.5,1,0,0,0
Utah Jazz,7,2,D,November,Monday,25,0,NULL,NULL,0,Northwest,Western,50,32,0.61,1,0,0,0
Atlanta Hawks,8,2,D,November,Wednesday,27,0,NULL,NULL,0,Southeast,Eastern,29,53,0.354,0,0,0,0
Charlotte Hornets,9,3,C,November,Saturday,30,0,NULL,NULL,0,Southeast,Eastern,39,43,0.476,0,0,0,0
New York Knicks,10,2,D,December,Monday,2,0,NULL,NULL,0,Atlantic,Eastern,17,65,0.207,0,0,0,0
Los Angeles Clippers,11,4,A,December,Friday,6,0,NULL,NULL,2,Pacific,Western,48,34,0.585,1,0,0,0
Orlando Magic,12,3,D,December,Monday,9,0,NULL,NULL,1,Southeast,Eastern,42,40,0.512,1,0,0,0
New Orleans Pelicans,13,2,C,December,Wednesday,11,0,NULL,NULL,0,Southwest,Western,33,49,0.402,0,0,0,0
Cleveland Cavaliers,14,3,C,December,Saturday,14,0,NULL,NULL,0,Central,Eastern,19,63,0.232,0,0,0,0
Dallas Mavericks,15,2,D,December,Monday,16,0,NULL,NULL,0,Southwest,Western,33,49,0.402,0,0,0,0
Los Angeles Lakers,16,3,A,December,Thursday,19,0,NULL,NULL,2,Pacific,Western,37,45,0.451,0,0,0,0
Indiana Pacers,17,3,C,December,Sunday,22,0,NULL,NULL,0,Central,Eastern,48,34,0.585,1,0,0,0
Orlando Magic,18,6,C,December,Saturday,28,0,NULL,NULL,1,Southeast,Eastern,42,40,0.512,1,0,0,0
Minnesota Timberwolves,19,4,D,January,Wednesday,1,1,New Year's Day,NULL,3,Northwest,Western,36,46,0.439,0,0,0,0
San Antonio Spurs,20,3,C,January,Saturday,4,0,NULL,NULL,1,Southwest,Western,48,34,0.585,1,0,0,0
New York Knicks,21,10,D,January,Tuesday,14,0,NULL,NULL,0,Atlantic,Eastern,17,65,0.207,0,0,0,0
Boston Celtics,22,2,C,January,Thursday,16,0,NULL,NULL,1,Atlantic,Eastern,49,33,0.598,1,0,0,0
Chicago Bulls,23,4,C,January,Monday,20,1,Martin Luther King Jr. Day,NULL,0,Central,Eastern,22,60,0.268,0,0,0,0
Washington Wizards,24,8,D,January,Tuesday,28,0,NULL,NULL,1,Southeast,Eastern,32,50,0.39,0,0,0,0
Denver Nuggets,25,3,C,January,Friday,31,0,NULL,NULL,1,Northwest,Western,54,28,0.659,1,0,0,0
Phoenix Suns,26,2,C,February,Sunday,2,0,NULL,NULL,0,Pacific,Western,19,63,0.232,0,0,0,0
Philadelphia 76ers,27,4,C,February,Thursday,6,0,NULL,NULL,2,Atlantic,Eastern,51,31,0.622,1,0,0,0
Sacramento Kings,28,4,D,February,Monday,10,0,NULL,NULL,0,Pacific,Western,39,43,0.476,0,0,0,0
Philadelphia 76ers,29,12,A,February,Saturday,22,0,NULL,NULL,2,Atlantic,Eastern,51,31,0.622,1,0,0,0
Oklahoma City Thunder,30,6,C,February,Friday,28,0,NULL,NULL,0,Northwest,Western,49,33,0.598,1,0,0,0
Indiana Pacers,31,5,D,March,Wednesday,4,0,NULL,NULL,0,Central,Eastern,48,34,0.585,1,0,0,0
Brooklyn Nets,1,0,A,October,Tuesday,19,0,NULL,NULL,3,Atlantic,Eastern,48,24,0.667,1,0,0,0
Minnesota Timberwolves,2,8,D,October,Wednesday,27,0,NULL,NULL,0,Northwest,Western,23,49,0.319,0,0,0,0
San Antonio Spurs,3,3,C,October,Saturday,30,0,NULL,1,0,Southwest,Western,33,39,0.458,0,0,0,0
Utah Jazz,4,1,C,October,Sunday,31,1,Halloween,NULL,2,Northwest,Western,52,20,0.722,1,0,0,0
