SeasonKey,MasterEventName,MasterEventDate,Opponent,HomeGameNumber,HomeGameDateDiff,BowlTier,MonthName,DayofWeek,DayofMonth,IsHoliday,Holiday,CompetingSportingTeamCount,BucksWinFlag,BucksWinCount,BucksLoseCount,BucksWin%,NumofPlayersWhoMadeAllStarTeamLastSeason,Division,Conference,OppPrevSeasonWinCount,OppPrevSeasonLoseCount,OppPrevSeasonWin%,OppPrevSeasonConfSemis,OppPrevSeasonConfFinals,OppPrevSeasonNBAFinals,OppPrevSeasonNBAChamps, Premim Revenue , Total Revenue ,Premium %
2018,2018-10-19 Indiana Pacers,10/19/2018,Indiana Pacers,1,0,A,October,Friday,19,0,NULL,NULL,1,2,0,1,1,Central,Eastern,48,34,0.585,1,0,0,0,0.00,1127818.00,0.00
2018,2018-10-22 New York Knicks,10/22/2018,New York Knicks,2,3,D,October,Monday,22,0,NULL,NULL,1,3,0,1,0,Atlantic,Eastern,29,53,0.354,0,0,0,0,0.00,920855.00,0.00
2018,2018-10-24 Philadelphia 76ers,10/24/2018,Philadelphia 76ers,3,2,C,October,Wednesday,24,0,NULL,NULL,1,4,0,1,1,Atlantic,Eastern,52,30,0.634,1,0,0,0,0.00,973416.00,0.00
2018,2018-10-27 Orlando Magic,10/27/2018,Orlando Magic,4,3,C,October,Saturday,27,0,NULL,NULL,1,6,0,1,0,Southeast,Eastern,25,57,0.305,0,0,0,0,0.00,1043424.00,0.00
2018,2018-10-29 Toronto Raptors,10/29/2018,Toronto Raptors,5,2,C,October,Monday,29,0,NULL,NULL,1,7,0,1,1,Atlantic,Eastern,59,23,0.72,1,0,0,0,0.00,1118806.00,0.00
2018,2018-11-04 Sacramento Kings,11/4/2018,Sacramento Kings,6,6,D,November,Sunday,4,0,NULL,NULL,1,8,1,0.889,0,Pacific,Western,27,55,0.329,0,0,0,0,58.00,1163869.00,0.00
2018,2018-11-14 Memphis Grizzlies,11/14/2018,Memphis Grizzlies,7,10,D,November,Wednesday,14,0,NULL,NULL,0,10,4,0.714,0,Southwest,Western,22,60,0.268,0,0,0,0,1586.00,1006674.00,0.00
2018,2018-11-16 Chicago Bulls,11/16/2018,Chicago Bulls,8,2,D,November,Friday,16,0,NULL,NULL,1,11,4,0.733,0,Central,Eastern,27,55,0.329,0,0,0,0,1672.00,1300109.00,0.00
2018,2018-11-19 Denver Nuggets,11/19/2018,Denver Nuggets,9,3,C,November,Monday,19,0,NULL,NULL,1,12,4,0.75,0,Northwest,Western,46,36,0.561,0,0,0,0,790.00,1137756.00,0.00
2018,2018-11-21 Portland Trail Blazers,11/21/2018,Portland Trail Blazers,10,2,D,November,Wednesday,21,0,NULL,NULL,1,13,4,0.765,1,Northwest,Western,49,33,0.598,1,0,0,0,1211.00,1267363.00,0.00
2018,2018-11-23 Phoenix Suns,11/23/2018,Phoenix Suns,11,2,D,November,Friday,23,0,NULL,NULL,0,13,5,0.722,0,Pacific,Western,21,61,0.256,0,0,0,0,2041.00,1264039.00,0.00
2018,2018-11-24 San Antonio Spurs,11/24/2018,San Antonio Spurs,12,1,C,November,Saturday,24,0,NULL,1,1,14,5,0.737,2,Southwest,Western,47,35,0.573,1,0,0,0,509.00,1354046.00,0.00
2018,2018-11-28 Chicago Bulls,11/28/2018,Chicago Bulls,13,4,C,November,Wednesday,28,0,NULL,NULL,1,15,6,0.714,0,Central,Eastern,27,55,0.329,0,0,0,0,2257.00,1231779.00,0.00
2018,2018-12-05 Detroit Pistons,12/5/2018,Detroit Pistons,14,7,D,December,Wednesday,5,0,NULL,NULL,1,16,7,0.696,1,Central,Eastern,39,43,0.476,0,0,0,0,2583.00,1068451.00,0.00
2018,2018-12-07 Golden State Warriors,12/7/2018,Golden State Warriors,15,2,D,December,Friday,7,0,NULL,NULL,0,16,8,0.667,5,Pacific,Western,58,24,0.707,1,1,1,1,3024.00,1485309.00,0.00
